,주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
224,16110019@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
225,16141130@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
226,16277220@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
227,162886330@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
228,163724586@n,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
229,16389333@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
230,16398578@n,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
231,16409202@n,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0
232,1644720635@g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0
233,16471396@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
234,16498660@n,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0
235,165083981@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
236,16555569@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
237,16642165@n,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
238,16662876@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
239,166717847@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
240,167222579@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
241,16846690@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
242,16866241@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
243,169080863@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
244,16997600@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
245,17037228@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
246,170648925@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
247,171008117@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
248,17152071@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
249,17181616@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
250,17298547@n,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
251,17341708@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
252,173754849@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
253,17404398@n,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,174691867@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
255,174946360@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
256,175486314@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
257,17689457@n,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,17758271@n,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
259,17819329@n,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
260,17884468@n,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
261,18177280@n,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
262,18287260@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
263,18465128@n,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
264,18583970@n,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,1.0
265,18773814@n,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
266,18905578@n,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
267,18956254@n,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
268,19055048@n,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
269,19118163@n,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
270,19150839@n,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
271,1939269293018887@f,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,19418408@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
273,19498788@n,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
274,19590526@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
275,19597837@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
276,19623619@n,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,1.0
277,1963889973925686@f,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
278,19653826@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
279,19803644@n,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0
280,20163750@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
281,20234317@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
282,20258052@n,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0
