주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
1472528@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118140.0,0.0,0.0
147853521@n,0.0,0.0,0.0,0.0,0.0,0.0,126500.0,0.0,0.0,0.0
14807254@n,0.0,0.0,0.0,0.0,101400.0,0.0,0.0,0.0,0.0,0.0
148852812@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69800.0
149309674@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64070.0,61900.0
149642034@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236610.0,229190.0,0.0
150329090@n,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0
1506058@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106620.0
15071898@n,0.0,0.0,0.0,0.0,132000.0,0.0,0.0,0.0,0.0,0.0
15179994@n,0.0,0.0,0.0,0.0,0.0,0.0,91670.0,0.0,0.0,0.0
151998384@n,0.0,0.0,0.0,0.0,0.0,135100.0,0.0,0.0,35320.0,31750.0
152269897@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380840.0,517940.0,81880.0
152541790@n,0.0,0.0,0.0,0.0,164600.0,132370.0,0.0,0.0,0.0,0.0
15404226@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78900.0,0.0,0.0
15450330@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98980.0,0.0
15464291@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12750.0,0.0
154702787@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57850.0,0.0
155273889@n,0.0,0.0,0.0,0.0,0.0,0.0,61700.0,0.0,0.0,0.0
155452391@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55870.0
15586823@n,0.0,0.0,0.0,0.0,0.0,0.0,214000.0,87120.0,87120.0,248710.0
1559740@n,0.0,0.0,0.0,40500.0,0.0,0.0,0.0,0.0,0.0,0.0
156257887@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98360.0
156563101@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59670.0
15781174@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361230.0,161890.0
158123364@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624355.0,0.0,0.0
158316672@n,0.0,0.0,0.0,0.0,0.0,0.0,103600.0,0.0,0.0,0.0
158430199@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202290.0,0.0,0.0
15890626@n,0.0,0.0,0.0,0.0,0.0,57000.0,0.0,0.0,0.0,0.0
159146639@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37380.0,0.0
16066873@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862700.0
16103428@n,0.0,0.0,0.0,0.0,0.0,60540.0,181620.0,294530.0,253110.0,97000.0
16110019@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143010.0
16141130@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59990.0
16277220@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611680.0,99660.0,0.0
162886330@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342560.0,221870.0,0.0
163724586@n,0.0,0.0,0.0,0.0,0.0,0.0,43030.0,0.0,0.0,0.0
16389333@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148060.0,0.0,0.0
16398578@n,0.0,0.0,0.0,0.0,0.0,51500.0,0.0,0.0,0.0,0.0
16409202@n,0.0,0.0,0.0,0.0,0.0,0.0,512460.0,589930.0,344880.0,265350.0
1644720635@g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576910.0,0.0,203120.0
16471396@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266020.0,157130.0
16498660@n,0.0,0.0,0.0,0.0,64000.0,330150.0,154800.0,87180.0,0.0,0.0
165083981@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196150.0,297350.0
16555569@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116000.0,0.0,0.0
16642165@n,0.0,0.0,0.0,0.0,0.0,249000.0,0.0,0.0,0.0,0.0
16662876@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66500.0,0.0
166717847@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97020.0,86020.0,0.0
167222579@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75570.0,0.0,55870.0
16846690@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70670.0,136310.0
16866241@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132330.0,0.0,0.0
169080863@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350410.0,0.0
16997600@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119020.0,0.0,0.0
17037228@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116000.0,0.0,0.0
170648925@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478790.0,0.0
171008117@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80070.0
17152071@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109750.0,208350.0
17181616@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142030.0,0.0
17298547@n,0.0,0.0,0.0,0.0,0.0,0.0,1757710.0,754925.0,782570.0,854700.0
17341708@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57850.0
173754849@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162490.0,0.0
17404398@n,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174691867@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230010.0
174946360@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125630.0
175486314@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64070.0
17689457@n,0.0,60000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17758271@n,0.0,0.0,0.0,26780.0,0.0,0.0,0.0,0.0,0.0,0.0
17819329@n,0.0,0.0,0.0,0.0,0.0,0.0,195390.0,58410.0,0.0,57850.0
17884468@n,0.0,0.0,0.0,0.0,0.0,121080.0,61970.0,0.0,0.0,0.0
18177280@n,0.0,0.0,0.0,0.0,0.0,140660.0,0.0,0.0,0.0,0.0
18287260@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263160.0,0.0
18465128@n,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
18583970@n,0.0,0.0,0.0,0.0,0.0,320560.0,545710.0,83820.0,91720.0,53000.0
18773814@n,0.0,0.0,0.0,0.0,0.0,51500.0,0.0,0.0,0.0,0.0
18905578@n,0.0,0.0,0.0,0.0,0.0,102380.0,0.0,0.0,0.0,0.0
