,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
915,915,918,다이찌롱스토어,과세,0,12980,업소용도마 특5호,421,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046007 : 주방용품/소모품 > 주방용품
046007001 : 주방용품/소모품 > 주방용품 > 도마",도마 소모품 주방용품,주방용품,13000,정상,0
916,916,919,다이찌롱스토어,과세,0,13640,업소용도마 특4호,420,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046007 : 주방용품/소모품 > 주방용품
046007001 : 주방용품/소모품 > 주방용품 > 도마",도마 소모품 주방용품,주방용품,14500,정상,0
917,917,920,다이찌롱스토어,과세,0,18260,업소용도마 특3호,419,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046007 : 주방용품/소모품 > 주방용품
046007001 : 주방용품/소모품 > 주방용품 > 도마",도마 소모품 주방용품,주방용품,18300,정상,0
918,918,921,다이찌롱스토어,과세,0,15730,업소용도마 특2호,418,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046007 : 주방용품/소모품 > 주방용품
046007001 : 주방용품/소모품 > 주방용품 > 도마",도마 소모품 주방용품,주방용품,16000,정상,0
919,919,922,다이찌롱스토어,과세,0,39820,업소용도마 특1호,417,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046007 : 주방용품/소모품 > 주방용품
046007001 : 주방용품/소모품 > 주방용품 > 도마",도마 소모품 주방용품,주방용품,40000,정상,2
927,927,930,패커스,과세,0,6600,다회용 피크닉세트 8인용(56P),387,사용함,자체제작,"046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007004 : 주방용품/소모품 > 주방용품 > 식기",소모품 주방용품 식기,주방용품,16500,정상,10
928,928,931,패커스,과세,0,4950,다회용 피크닉세트 4인용(28P),386,사용함,자체제작,"046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007004 : 주방용품/소모품 > 주방용품 > 식기",소모품 주방용품 식기,주방용품,11500,정상,0
962,962,965,패커스,과세,0,38500,"168mm 나이프 백색 2,000 1박스(1매입)",164,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,60500,정상,0
963,963,966,패커스,과세,0,38500,"168mm 나이프 검정 2,000개 1박스(1매입)",162,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,60500,정상,0
964,964,967,패커스,과세,0,38500,"154mm 포크 백색 2,000개 1박스(개별포장)",160,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,55300,정상,0
965,965,968,패커스,과세,0,38500,"154mm 포크 검정 2,000개 1박스(개별포장)",158,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,55300,정상,0
966,966,969,패커스,과세,0,61600,"125mm 샐러드 포크 투명 4,000개 1박스",156,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,89950,정상,0
967,967,970,패커스,과세,0,61600,"125mm 샐러드 포크 핑크 4,000개 1박스",154,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,89950,정상,0
968,968,971,패커스,과세,0,61600,"125mm 샐러드 포크 검정 4,000개 1박스",152,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,89950,정상,0
969,969,972,패커스,과세,0,121000,"95mm 세발 미니 포크 투명 10,000개 1박스",150,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,158450,정상,0
970,970,973,패커스,과세,0,121000,"95mm 세발 미니 포크 핑크 10,000개 1박스",148,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,158450,정상,0
971,971,974,패커스,과세,0,121000,"95mm 세발 미니 포크 검정 10,000개 1박스",146,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,158450,정상,0
972,972,975,패커스,과세,3,33000,"170mm 다용도A수저 노랑 1,500개 1박스(개별포장)",144,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,45110,정상,0
973,973,976,패커스,과세,0,33000,"170mm 다용도A수저 검정 1,500개 1박스",142,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,45110,정상,18
974,974,977,패커스,과세,8,22280,"170mm 수저 투명 1,500개 1박스",140,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,30000,정상,10
975,975,978,패커스,과세,0,33000,"150mm 빙수 스푼 백색 2,000개 1박스",138,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,48920,정상,0
976,976,979,패커스,과세,0,33000,"150mm 빙수 스푼 검정 2,000개 1박스",134,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,48920,정상,1
977,977,980,패커스,과세,0,52000,"125mm 아이스크림 스푼 대 핑크 4,000개 1박스(1매입)",126,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,76200,정상,0
978,978,981,패커스,과세,1,100000,"90mm 아이스크림 스푼 소 투명 10,000개 1박스(1매입)",118,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,130650,정상,0
979,979,982,패커스,과세,0,100000,"90mm 아이스크림 스푼 소 핑크 10,000개 1박스(1매입)",116,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,130650,정상,0
980,980,983,패커스,과세,0,110000,"90mm 아이스크림 스푼 소 검정 10,000개 1박스(1매입)",114,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,130650,정상,0
